player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
Dillon Brooks,-145.0,105.0,3.5,4.0,4.0,4.0,1.0,4.0,8.0,9.0,6.0,0.0,2.0,4.2,3.85,-12.166666666666666,0.7000000000000002,Unknown,3.8470000000000044,0.3470000000000044
Donovan Clingan,100.0,-135.0,9.5,9.0,12.0,7.0,13.0,3.0,7.0,8.0,13.0,5.0,6.0,8.3,8.9,-8.5,-1.1999999999999993,Unknown,8.950499999999987,-0.5495000000000125
Draymond Green,-152.0,100.0,7.5,9.0,7.0,9.0,12.0,8.0,10.0,6.0,4.0,8.0,4.0,7.7,7.6,-14.833333333333334,0.2000000000000001,Unknown,7.569499999999998,0.0694999999999979
Duncan Robinson,-158.0,105.0,2.5,1.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.1,2.8,-16.833333333333332,0.6000000000000001,Unknown,2.804000000000004,0.3040000000000038
Dyson Daniels,-132.0,100.0,5.5,6.0,4.0,9.0,3.0,4.0,5.0,11.0,5.0,11.0,4.0,6.2,5.85,-8.833333333333334,0.7000000000000002,Unknown,5.859500000000006,0.3595000000000059
Franz Wagner,-115.0,-115.0,5.5,7.0,2.0,5.0,4.0,2.0,5.0,7.0,6.0,7.0,7.0,5.2,5.35,-74.83333333333333,-0.2999999999999998,Unknown,5.326000000000006,-0.17399999999999416
Fred VanVleet,120.0,-154.0,3.5,5.0,0.0,1.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,3.1,3.3,-10.166666666666666,-0.3999999999999999,Unknown,3.2995000000000028,-0.20049999999999724
Harrison Barnes,-135.0,100.0,3.5,2.0,2.0,2.0,1.0,0.0,1.0,5.0,4.0,3.0,4.0,2.4,2.95,-10.5,-1.1,Unknown,3.0284999999999958,-0.47150000000000425
Immanuel Quickley,-152.0,114.0,4.5,5.0,4.0,2.0,5.0,2.0,6.0,6.0,7.0,2.0,3.0,4.2,4.35,-11.166666666666666,-0.2999999999999998,Unknown,4.337000000000006,-0.16299999999999404
Isaiah Collier,-132.0,100.0,3.5,5.0,3.0,6.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.5,3.5,-9.5,0.0,Unknown,3.4939999999999993,-0.0060000000000006715
Isaiah Hartenstein,-143.0,108.0,10.5,11.0,15.0,5.0,11.0,10.0,2.0,5.0,9.0,13.0,12.0,9.3,9.9,-8.166666666666666,-1.1999999999999993,Unknown,9.769499999999988,-0.7305000000000117
Isaiah Joe,-135.0,100.0,1.5,0.0,6.0,3.0,0.0,2.0,3.0,1.0,5.0,1.0,3.0,2.4,1.95,-11.166666666666666,0.8999999999999999,Unknown,1.8594999999999988,0.3594999999999988
Ja Morant,105.0,-135.0,4.5,4.0,4.0,3.0,4.0,4.0,2.0,4.0,0.0,7.0,5.0,3.7,4.1,-8.5,-0.7999999999999998,Unknown,4.095500000000005,-0.4044999999999952
Jalen Green,-106.0,-125.0,4.5,7.0,2.0,4.0,6.0,2.0,7.0,8.0,3.0,5.0,0.0,4.4,4.45,-75.5,-0.0999999999999996,Unknown,4.4379999999999935,-0.062000000000006494
Jalen Williams,-154.0,120.0,5.5,9.0,5.0,4.0,6.0,5.0,5.0,6.0,3.0,9.0,3.0,5.5,5.5,-9.5,0.0,Unknown,5.475999999999998,-0.024000000000001798
Jamal Shead,-185.0,135.0,1.5,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.8,1.65,-16.166666666666668,0.3,Unknown,1.647500000000002,0.14750000000000196
Jaylen Brown,-110.0,-120.0,5.5,6.0,8.0,5.0,5.0,5.0,8.0,6.0,3.0,5.0,9.0,6.0,5.75,-74.83333333333333,0.5,Unknown,5.747999999999999,0.24799999999999933
Jaylen Wells,105.0,-140.0,3.5,7.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,3.8,3.65,-10.5,0.2999999999999998,Unknown,3.641999999999996,0.1419999999999959
