player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge
Cole Anthony,-122.0,-108.0,3.5,4.0,4.0,1.0,7.0,5.0,1.0,9.0,5.0,6.0,1.0,4.3,3.9,-75.5,0.7999999999999998
Corey Kispert,-110.0,-120.0,3.5,1.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,2.6,3.05,-75.5,-0.8999999999999999
D'Angelo Russell,-130.0,-104.0,2.5,6.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,4.0,1.0,2.2,2.35,-77.16666666666667,-0.2999999999999998
Davion Mitchell,124.0,-160.0,2.5,3.0,4.0,1.0,4.0,3.0,0.0,1.0,4.0,2.0,0.0,2.2,2.35,-11.166666666666666,-0.2999999999999998
De'Aaron Fox,-150.0,100.0,4.5,2.0,4.0,3.0,4.0,3.0,3.0,3.0,7.0,5.0,9.0,4.3,4.4,-15.166666666666666,-0.20000000000000018
DeMar DeRozan,-166.0,130.0,3.5,7.0,9.0,6.0,2.0,2.0,6.0,7.0,4.0,4.0,4.0,5.1,4.3,-10.833333333333334,1.5999999999999996
Deni Avdija,-110.0,-121.0,6.5,6.0,6.0,12.0,2.0,14.0,4.0,4.0,5.0,6.0,3.0,6.2,6.35,-74.83333333333333,-0.2999999999999998
Derrick White,-152.0,105.0,3.5,5.0,3.0,3.0,3.0,1.0,3.0,3.0,9.0,10.0,7.0,4.7,4.1,-14.5,1.2000000000000002
Desmond Bane,-112.0,-120.0,6.5,9.0,16.0,6.0,10.0,12.0,3.0,5.0,7.0,5.0,6.0,7.9,7.2,-75.16666666666667,1.4000000000000004
Devin Booker,-150.0,100.0,3.5,3.0,6.0,5.0,4.0,0.0,7.0,3.0,4.0,4.0,2.0,3.8,3.65,-15.5,0.2999999999999998
Devin Vassell,-115.0,-115.0,4.5,4.0,2.0,11.0,3.0,6.0,5.0,5.0,3.0,1.0,2.0,4.2,4.35,-75.16666666666667,-0.2999999999999998
